group,function,value,sample_time_nanos,iteration_count
"feature=default nand(false, true)",,,179196961.0,1
"feature=default nand(false, true)",,,339855576.0,2
"feature=default nand(false, true)",,,517786774.0,3
"feature=default nand(false, true)",,,694776134.0,4
"feature=default nand(false, true)",,,857951255.0,5
"feature=default nand(false, true)",,,1036021465.0,6
"feature=default nand(false, true)",,,1188344231.0,7
"feature=default nand(false, true)",,,1377858900.0,8
"feature=default nand(false, true)",,,1551089462.0,9
"feature=default nand(false, true)",,,1703229462.0,10
"feature=default nand(false, true)",,,1880765613.0,11
"feature=default nand(false, true)",,,2111509515.0,12
"feature=default nand(false, true)",,,2265084649.0,13
"feature=default nand(false, true)",,,2482125094.0,14
"feature=default nand(false, true)",,,2824704474.0,15
"feature=default nand(false, true)",,,2733466843.0,16
"feature=default nand(false, true)",,,2845309790.0,17
"feature=default nand(false, true)",,,3026921121.0,18
"feature=default nand(false, true)",,,3347739705.0,19
"feature=default nand(false, true)",,,3684855890.0,20
"feature=default nand(false, true)",,,3511635317.0,21
"feature=default nand(false, true)",,,3724494083.0,22
"feature=default nand(false, true)",,,5408998611.0,23
"feature=default nand(false, true)",,,5094299425.0,24
"feature=default nand(false, true)",,,4416015595.0,25
"feature=default nand(false, true)",,,4836923981.0,26
"feature=default nand(false, true)",,,5430994721.0,27
"feature=default nand(false, true)",,,5136844318.0,28
"feature=default nand(false, true)",,,5102259596.0,29
"feature=default nand(false, true)",,,5151687401.0,30
"feature=default nand(false, true)",,,5386951362.0,31
"feature=default nand(false, true)",,,6530721576.0,32
"feature=default nand(false, true)",,,10027372287.0,33
"feature=default nand(false, true)",,,7311642362.0,34
"feature=default nand(false, true)",,,7527302934.0,35
"feature=default nand(false, true)",,,10863642169.0,36
"feature=default nand(false, true)",,,6769948703.0,37
"feature=default nand(false, true)",,,7520648342.0,38
"feature=default nand(false, true)",,,7217961662.0,39
"feature=default nand(false, true)",,,6831191175.0,40
"feature=default nand(false, true)",,,7484414288.0,41
"feature=default nand(false, true)",,,7217478595.0,42
"feature=default nand(false, true)",,,7487479914.0,43
"feature=default nand(false, true)",,,7442029587.0,44
"feature=default nand(false, true)",,,7642835931.0,45
"feature=default nand(false, true)",,,7650209925.0,46
"feature=default nand(false, true)",,,8017324203.0,47
"feature=default nand(false, true)",,,8168336102.0,48
"feature=default nand(false, true)",,,8549101048.0,49
"feature=default nand(false, true)",,,8522660347.0,50
"feature=default nand(false, true)",,,9500410352.0,51
"feature=default nand(false, true)",,,9986927029.0,52
"feature=default nand(false, true)",,,9741232506.0,53
"feature=default nand(false, true)",,,9822895620.0,54
"feature=default nand(false, true)",,,9485856408.0,55
"feature=default nand(false, true)",,,9598524106.0,56
"feature=default nand(false, true)",,,9790044506.0,57
"feature=default nand(false, true)",,,10101580755.0,58
"feature=default nand(false, true)",,,10194781768.0,59
"feature=default nand(false, true)",,,10316559011.0,60
"feature=default nand(false, true)",,,10485002323.0,61
"feature=default nand(false, true)",,,10733874662.0,62
"feature=default nand(false, true)",,,10905687196.0,63
"feature=default nand(false, true)",,,15792722657.0,64
"feature=default nand(false, true)",,,19067922693.0,65
"feature=default nand(false, true)",,,11475766994.0,66
"feature=default nand(false, true)",,,11721222100.0,67
"feature=default nand(false, true)",,,17504712012.0,68
"feature=default nand(false, true)",,,23704733390.0,69
"feature=default nand(false, true)",,,13038094253.0,70
"feature=default nand(false, true)",,,13813689454.0,71
"feature=default nand(false, true)",,,13336162243.0,72
"feature=default nand(false, true)",,,13223542997.0,73
"feature=default nand(false, true)",,,13418633177.0,74
"feature=default nand(false, true)",,,13101605727.0,75
"feature=default nand(false, true)",,,13276933906.0,76
"feature=default nand(false, true)",,,13596869047.0,77
"feature=default nand(false, true)",,,13370686969.0,78
"feature=default nand(false, true)",,,13533951197.0,79
"feature=default nand(false, true)",,,13755155780.0,80
"feature=default nand(false, true)",,,13928158076.0,81
"feature=default nand(false, true)",,,14045075612.0,82
"feature=default nand(false, true)",,,14196146193.0,83
"feature=default nand(false, true)",,,14363081569.0,84
"feature=default nand(false, true)",,,14603650262.0,85
"feature=default nand(false, true)",,,14732985086.0,86
"feature=default nand(false, true)",,,14866570541.0,87
"feature=default nand(false, true)",,,15047107543.0,88
"feature=default nand(false, true)",,,15285304202.0,89
"feature=default nand(false, true)",,,15710871618.0,90
"feature=default nand(false, true)",,,15543686390.0,91
"feature=default nand(false, true)",,,15832378209.0,92
"feature=default nand(false, true)",,,15928027908.0,93
"feature=default nand(false, true)",,,16119595006.0,94
"feature=default nand(false, true)",,,16264534651.0,95
"feature=default nand(false, true)",,,16414701390.0,96
"feature=default nand(false, true)",,,16684794777.0,97
"feature=default nand(false, true)",,,16858973108.0,98
"feature=default nand(false, true)",,,16893020909.0,99
"feature=default nand(false, true)",,,17176663267.0,100
